id,type,amount,categoryId,categoryName,paymentMethodId,paymentMethodName,description,memo,date,time
7a251eb2-8d21-4992-9b17-9b93e0c9208e,expense,650000,f71da7b7-a65b-4820-af51-f5d29eee14eb,주거/통신,300a6463-c48e-4a04-a16e-fadd6e7caffd,계좌이체,월세,자동이체,2025-07-01,08:00
fc539bf6-c887-4d0a-b406-92d9b8ac7c0e,expense,6960,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,회사 구내식당,,2025-07-01,09:26
f84c13d1-0660-477b-b3ab-41883b96f0dc,expense,15743,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,타다,,2025-07-01,20:15
04a2bd6d-ddb3-458a-bc65-a2ee46a0a66c,expense,5982,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,스타벅스 마포역점,,2025-07-01,22:40
971ddf9e-e8de-40f0-a118-870d96dfd439,expense,10293,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,설빙,,2025-07-02,07:11
4921e47f-d7b8-44d1-8dbb-70b8068176f5,expense,14709,b9ef049e-0af8-42ec-bfb4-99eeeefcf6c3,의료/건강,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,마포약국,,2025-07-02,12:29
87280c67-a2bb-440f-b220-d5efe6c32c89,expense,6776,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,회사 구내식당,,2025-07-02,14:56
a14b16db-15bd-44d1-b463-4fd50de4e2b5,expense,18688,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,연남동 브런치카페,,2025-07-02,15:38
71270577-20b6-4806-b309-daef0de17789,expense,11030,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,카카오택시,,2025-07-02,15:50
48073ff9-ee2d-4713-8215-5ed5c977daae,expense,9291,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,6b4f4a1a-8819-433a-a574-51981df97e81,현금,투썸플레이스,,2025-07-03,11:04
642f0563-094f-4903-bbbc-d5f888488dc2,expense,9968,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,카카오택시,,2025-07-03,14:48
cce3f9a2-f08b-4fb4-97c6-35ac30ffa0b0,expense,3892,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,6b4f4a1a-8819-433a-a574-51981df97e81,현금,이디야커피,,2025-07-03,19:34
f6257beb-0513-46f2-8bc4-891bbe8b26aa,expense,26442,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,배달의민족,,2025-07-04,12:57
ea581aa0-b6a7-458b-94fb-6982a313b2ef,expense,3999,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,CU,,2025-07-04,16:20
ced4522a-d2e8-48e5-b5c8-2282ee05b160,expense,7186,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,스타벅스 마포역점,,2025-07-04,16:26
82433094-7fb6-4456-a949-cc56c61b95f5,expense,21096,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,카카오택시,,2025-07-04,17:31
d19e3cde-3ae2-4bca-9d02-42039bf79e2c,expense,37299,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,마포숯불갈비,,2025-07-04,19:46
225c1e0d-6185-44af-b5f1-041309836d6c,expense,13500,9f5da4c1-1b51-4ed7-ab70-88e9dbc333b1,문화/여가,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,넷플릭스,월정액,2025-07-05,00:00
95794f29-a5e7-4eb3-a69f-56aee751b424,expense,30595,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,마포숯불갈비,,2025-07-05,12:05
1aefcfa8-d366-46da-aa1b-f41445d221bc,expense,23899,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,6b4f4a1a-8819-433a-a574-51981df97e81,현금,배달의민족,,2025-07-05,18:52
b33ee2af-14e2-4c64-b8e1-ad17c154b7ec,expense,8424,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,스타벅스 마포역점,,2025-07-05,19:55
696052a3-34a3-4d4a-84e7-261d472fec0a,expense,5989,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,세븐일레븐,,2025-07-06,09:48
7ccef189-fb1a-4947-ad89-9a876a578177,expense,91029,afbb5893-0224-4dcc-a007-3b04dde917ba,기타,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,경조사비,,2025-07-06,17:19
08ae7333-3f55-43b9-b454-00ae523136da,expense,4613,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,이디야커피,,2025-07-07,09:44
f9d9f706-3a81-4a29-b867-a21832b85b38,expense,4860,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,이디야커피,,2025-07-07,10:15
c867272d-0f63-4cf4-9fcb-8c89e366258d,expense,3982,afbb5893-0224-4dcc-a007-3b04dde917ba,기타,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,택배비,,2025-07-07,19:32
cbb4b63d-ce98-4a76-aebc-4c8b25f6b7a8,expense,10450,9f5da4c1-1b51-4ed7-ab70-88e9dbc333b1,문화/여가,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,유튜브프리미엄,월정액,2025-07-08,00:00
48a9d1b4-ab38-4bba-aaba-8c29c2021e09,expense,4581,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,GS25,,2025-07-08,17:57
75810dfd-f3dc-4232-b1fd-882b8b2aed0a,expense,4161,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,GS25,,2025-07-08,22:18
2bc03b80-3653-4747-bd19-b9f1dbeb9191,expense,6511,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,회사 구내식당,,2025-07-09,08:10
b10bff89-1760-48c2-802e-b83f72fc1054,expense,686,afbb5893-0224-4dcc-a007-3b04dde917ba,기타,300a6463-c48e-4a04-a16e-fadd6e7caffd,계좌이체,ATM 수수료,,2025-07-09,14:44
4cc2144d-dd59-448a-b96f-edfe178eb528,expense,6652,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,회사 구내식당,,2025-07-09,18:46
42a506a6-069d-40d5-a1dc-21dced442bd5,expense,44006,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,티머니 충전,,2025-07-09,18:47
10f13845-1f3a-4ddf-98a5-e3af22f5342b,expense,7298,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,스타벅스 마포역점,,2025-07-10,14:08
cef833c0-1402-453e-8270-3ae5871deccd,expense,21851,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,6b4f4a1a-8819-433a-a574-51981df97e81,현금,카카오택시,,2025-07-10,14:35
23031b9b-ff3e-4c9e-88b0-75e43f6a1168,expense,7302,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,스타벅스 마포역점,,2025-07-10,15:48
7da329c0-143b-4769-99b5-bc2b57ab279a,expense,6887,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,회사 구내식당,,2025-07-10,16:41
42e328e6-b242-4840-9e7a-55f167bc91b0,expense,10087,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,샐러디,,2025-07-10,19:03
d47f0e65-6067-4f99-a96e-66f43db60c75,expense,14496,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,연남동 파스타,,2025-07-11,10:51
897f1b12-b85b-4f13-9ae4-2d85b501bdcf,expense,17762,38b21d8d-dbe7-4580-b112-fefb7e185552,교통,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,카카오택시,,2025-07-11,11:21
afc381ad-cb97-435b-a9cd-0f59ff39290f,expense,6862,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,ff1c0770-3386-4f80-aab3-3ee9107ceeef,카카오페이,회사 구내식당,,2025-07-11,20:41
5c47aebb-286e-4172-8d11-0d5f77f8f79a,expense,10900,9f5da4c1-1b51-4ed7-ab70-88e9dbc333b1,문화/여가,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,멜론,월정액,2025-07-12,00:00
6cbb0760-0c81-4626-89f3-a3af9e5a9a0b,expense,23535,8ce3d172-0879-4516-a603-2dc3b7aaf3ba,식비,a6f02194-95d2-4627-9f75-aaaf5e4f2c04,삼성카드,합정 일식당,,2025-07-12,08:29
f26dcaa1-70bc-4d40-a6e7-fe1c6b90c3d0,expense,95174,18ed1b95-c82c-4421-895a-097ce9e96806,쇼핑,9fa8fce6-1cc5-4354-9074-ff25b36259f2,신한카드,자라,,2025-07-12,10:45
acb047ba-f5fe-47fd-8d45-7ce2bbbaa4dc,expense,50000,9f5da4c1-1b51-4ed7-ab70-88e9dbc333b1,문화/여가,6b4f4a1a-8819-433a-a574-51981df97e81,현금,필라테스 PT,,2025-07-12,11:11
